STATION_NUMBER,STATION_NAME,peak_value,peak_date
07KC001,PEACE RIVER AT PEACE POINT (ALBERTA),13.66600037,2003-05-02
07DD001,ATHABASCA RIVER AT EMBARRAS AIRPORT,219.2100067,2018-05-02
07NB001,SLAVE RIVER AT FITZGERALD (ALBERTA),5.412000179,2021-03-03
07SB001,GREAT SLAVE LAKE AT YELLOWKNIFE BAY,157.2749939,2020-09-07
07OB002,GREAT SLAVE LAKE AT HAY RIVER,157.7550049,2021-05-08
07OB001,HAY RIVER NEAR HAY RIVER,11.60900021,2022-05-12
07OB008,HAY RIVER NEAR ALTA/NWT BOUNDARY,290.9030151,2022-05-19
07OB004,STEEN RIVER NEAR STEEN RIVER,8.80700016,2022-05-13
07OB006,LUTOSE CREEK NEAR STEEN RIVER,3.052999973,2022-05-08
07OB003,HAY RIVER NEAR MEANDER RIVER,10.27900028,2022-05-14
07OC001,CHINCHAGA RIVER NEAR HIGH LEVEL,4.032999992,2022-05-10
07OA001,SOUSA CREEK NEAR HIGH LEVEL,4.678999901,2022-05-11
10AA006,LIARD RIVER BELOW SCURVY CREEK,9.590999603,2022-06-06
10AA001,LIARD RIVER AT UPPER CROSSING,7.909999847,2012-06-10
10BE001,LIARD RIVER AT LOWER CROSSING,15.94299984,2012-06-11
10ED001,LIARD RIVER AT FORT LIARD,10.94400024,2010-04-25
10EB001,SOUTH NAHANNI RIVER ABOVE VIRGINIA FALLS,5.948999882,2006-06-18
10ED002,LIARD RIVER NEAR THE MOUTH,12.30099964,2010-04-30
10DA001,PETITOT RIVER BELOW HIGHWAY NO. 77,8.163999557,2013-05-16
10FB001,MACKENZIE RIVER NEAR FORT PROVIDENCE,156.0299988,1989-06-02
10FB006,MACKENZIE RIVER AT STRONG POINT,14.74400043,2021-05-13
10GC001,MACKENZIE RIVER AT FORT SIMPSON,15.99400043,2021-05-14
10KA001,MACKENZIE RIVER AT NORMAN WELLS,15.72399998,2008-05-14
10LA002,ARCTIC RED RIVER NEAR THE MOUTH,9.427000046,2006-05-22
10KD001,MACKENZIE RIVER AT SANS SAULT RAPIDS,9.034,1988-07-04
10LD001,MACKENZIE RIVER AT FORT GOOD HOPE,12.84500027,2021-05-25
10LC002,MACKENZIE RIVER (EAST CHANNEL) AT INUVIK,16.55900002,2006-05-28
10LC014,MACKENZIE RIVER AT ARCTIC RED RIVER,19.44199944,2006-05-22
10LC015,MACKENZIE RIVER AT CONFLUENCE EAST CHANNEL,23.36499977,2012-04-07
10MC003,MACKENZIE RIVER (PEEL CHANNEL) ABOVE AKLAVIK,16.19099998,2006-05-28
10MC008,MACKENZIE RIVER (MIDDLE CHANNEL) BELOW RAYMOND CHANNEL,16.60000038,1992-06-05
10LC019,MACKENZIE RIVER (KUMAK CHANNEL) BELOW MIDDLE CHANNEL,14.298,2006-05-03
10MC023,MACKENZIE RIVER (NAPOIAK CHANNEL) ABOVE SHALLOW BAY,14.29800034,2006-05-30
10MA001,PEEL RIVER ABOVE CANYON CREEK,4.265,2011-05-21
10MC002,PEEL RIVER ABOVE FORT MCPHERSON,13.94799995,2013-05-27
10MC022,PEEL RIVER AT FROG CREEK,10.484,2016-05-13
